cts urn,word form,note
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,κατηγοροῦντος,supplied
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,Μύρωνος,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,καθ᾽,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ἱερῶν,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ὀμόσαντες,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ἀριστίνδην,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,καταγνωσθέντος,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,δὲ,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,τοῦ,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ἅγους,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,αὐτοὶ,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,μὲν,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ἐκ,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,τῶν,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,τάφων,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ἐξεβλήθησαν,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,τὸ,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,δὲ,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,γένος,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,αὐτῶν,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ἔφυγεν,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ἀειφυγίαν,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,Ἐπμενίδης,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,δ᾽,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ὁ,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,Κρὴς,
urn:cts:greekLit:tlg0086.tlg003.fuKenyon:1.1,ἐπὶ,
